csa,industry,indust_jobs,total_jobs,pop,natl_prop,expect_jobs,log_ratio,log_ratio_adj
Albany-Schenectady,Aerospace & Defense,2,286,NA,0.00630277662862288,1.8025941157861436,0.10392037771770936,0.20731911964071834
Albany-Schenectady,Auto,16,286,NA,0.023945684179787312,6.848465675419171,0.8485640840448297,1.192237890925249
Albany-Schenectady,Construction,11,286,NA,0.019833061591998637,5.67225561531161,0.6623084184148097,0.9458828894951906
Albany-Schenectady,Consulting,25,286,NA,0.08290949796802376,23.712116418854794,0.05288966606453595,0.13982226793545577
Albany-Schenectady,Consumer Goods,4,286,NA,0.02590465529408902,7.408731414109459,-0.6163648643563416,-0.7453814129362766
Albany-Schenectady,Education,15,286,NA,0.06535176307400287,18.69060423916482,-0.21997074938600203,-0.2210823403144274
Albany-Schenectady,Energy,2,286,NA,0.00945416494293432,2.7038911736792155,-0.30154473039045504,-0.3289778941974796
Albany-Schenectady,Finance,14,286,NA,0.04443579198403621,12.708636507434356,0.09677552731764671,0.19786883191620205
Albany-Schenectady,Food & Beverages,5,286,NA,0.03308349353904558,9.461879152167036,-0.6378330927811232,-0.7737768200042883
Albany-Schenectady,Government,1,286,NA,0.015452753510330227,4.4194875039544455,-1.48602374003539,-1.8956541460468646
Albany-Schenectady,Healthcare,86,286,NA,0.31487114593726423,90.05314773805758,-0.046052730205143236,0.008954011702494496
Albany-Schenectady,Human Resources,24,286,NA,0.08965030540481347,25.639987345776653,-0.06609930816994995,-0.01756101927110158
Albany-Schenectady,Insurance,11,286,NA,0.014576691893996544,4.168933881683012,0.970234933540223,1.353168417253372
Albany-Schenectady,Internet & Software,5,286,NA,0.014905215000121675,4.262891490034799,0.1594902288725202,0.2808197603562889
Albany-Schenectady,Manufacturing,13,286,NA,0.03499379456355097,10.008225245175577,0.2615420780378466,0.41580080032639316
Albany-Schenectady,Media,2,286,NA,0.0077142092327160345,2.206263840556786,-0.09815333446003337,-0.05995795611499145
Albany-Schenectady,Organization,1,286,NA,0.013591122575621152,3.8870610566276493,-1.3576533596519536,-1.7258623432795963
Albany-Schenectady,Pharmaceuticals,2,286,NA,0.003090550702066045,0.8838975007908889,0.816561352958656,1.1499088007693499
Albany-Schenectady,Real Estate,3,286,NA,0.012337867763366024,3.5286301803226827,-0.16229745606577164,-0.14479953726346068
Albany-Schenectady,Restaurants & Travel,12,286,NA,0.04296352176769766,12.287567225561531,-0.023681306723138954,0.03854404884450191
Albany-Schenectady,Retail,31,286,NA,0.10019954736816489,28.65707054729516,0.07858700129065273,0.17381139269557977
